CustomerKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance
11067,Caleb,Carter,"Carter, Caleb",25-09-1976 00:00,S,M,60000,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,19-08-2016 00:00,5-10 Miles
11068,Tiffany,Liang,"Liang, Tiffany",23-09-1955 00:00,S,F,80000,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,01-05-2016 00:00,5-10 Miles
11069,Carolyn,Navarro,"Navarro, Carolyn",21-09-1955 00:00,S,F,80000,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,18-04-2014 00:00,1-2 Miles
11070,Willie,Raji,"Raji, Willie",05-04-1955 00:00,M,M,80000,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,29-04-2014 00:00,5-10 Miles
11071,Linda,Serrano,"Serrano, Linda",26-06-1955 00:00,S,F,80000,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,02-03-2016 00:00,5-10 Miles
11072,Casey,Luo,"Luo, Casey",06-02-1955 00:00,S,F,80000,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,01-04-2014 00:00,1-2 Miles
11073,Amy,Ye,"Ye, Amy",14-08-1956 00:00,S,F,70000,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,24-03-2016 00:00,5-10 Miles
11074,Levi,Arun,"Arun, Levi",28-08-1956 00:00,S,M,70000,2,0,High School,Skilled Manual,1,2,4661 Bluetail,24-03-2016 00:00,5-10 Miles
11075,Felicia,Jimenez,"Jimenez, Felicia",16-11-1957 00:00,S,F,80000,2,0,High School,Professional,1,2,786 Eastgate Ave,29-04-2014 00:00,5-10 Miles
11076,Blake,Anderson,"Anderson, Blake",13-07-1957 00:00,S,M,80000,2,0,High School,Professional,1,2,5436 Clear,22-04-2014 00:00,5-10 Miles
11077,Leah,Ye,"Ye, Leah",19-09-1957 00:00,S,F,80000,2,0,High School,Professional,0,2,1291 Arguello Blvd.,16-04-2014 00:00,1-2 Miles
11078,Gina,Martin,"Martin, Gina",10-01-1974 00:00,S,F,40000,0,0,High School,Professional,0,2,1349 Sol St.,19-02-2016 00:00,1-2 Miles
11079,Donald,Gonzalez,"Gonzalez, Donald",11-03-1959 00:00,S,M,160000,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,16-03-2016 00:00,0-1 Miles
11080,Damien,Chander,"Chander, Damien",17-07-1959 00:00,M,M,170000,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,11-04-2014 00:00,0-1 Miles
11081,Savannah,Baker,"Baker, Savannah",24-07-1966 00:00,M,F,120000,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,16-02-2016 00:00,2-5 Miles
11082,Angela,Butler,"Butler, Angela",04-08-1966 00:00,S,F,130000,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,26-01-2016 00:00,1-2 Miles
11083,Alyssa,Cox,"Cox, Alyssa",15-03-1966 00:00,M,F,130000,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,10-01-2016 00:00,1-2 Miles
11084,Lucas,Phillips,"Phillips, Lucas",12-09-1957 00:00,S,M,80000,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,08-01-2016 00:00,1-2 Miles
11085,Emily,Johnson,"Johnson, Emily",19-07-1957 00:00,S,F,60000,2,0,High School,Professional,0,2,7926 Stephanie Way,08-12-2016 00:00,5-10 Miles
11086,Ryan,Brown,"Brown, Ryan",23-12-1957 00:00,M,M,70000,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,03-07-2016 00:00,0-1 Miles
11087,Tamara,Liang,"Liang, Tamara",03-10-1957 00:00,M,F,70000,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,29-02-2016 00:00,0-1 Miles
11088,Hunter,Davis,"Davis, Hunter",25-11-1957 00:00,M,M,80000,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,17-01-2016 00:00,2-5 Miles
11089,Abigail,Price,"Price, Abigail",05-02-1957 00:00,S,F,80000,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,02-01-2016 00:00,2-5 Miles
11090,Trevor,Bryant,"Bryant, Trevor",17-12-1957 00:00,S,M,90000,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,07-08-2014 00:00,2-5 Miles
11091,Dalton,Perez,"Perez, Dalton",04-04-1957 00:00,M,M,90000,2,0,Partial College,Professional,1,1,6083 San Jose,02-02-2016 00:00,5-10 Miles
11092,Cheryl,Diaz,"Diaz, Cheryl",06-05-1967 00:00,M,F,90000,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,09-04-2014 00:00,1-2 Miles
11093,Aimee,He,"He, Aimee",10-09-1967 00:00,M,F,100000,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,08-04-2014 00:00,0-1 Miles
11094,Cedric,Ma,"Ma, Cedric",01-04-1962 00:00,S,M,70000,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,09-04-2016 00:00,0-1 Miles
11095,Chad,Kumar,"Kumar, Chad",01-09-1962 00:00,S,M,70000,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,02-04-2014 00:00,5-10 Miles
11096,Andrés,Anand,"Anand, Andrés",10-08-1962 00:00,M,M,60000,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,12-04-2014 00:00,5-10 Miles
11097,Edwin,Nara,"Nara, Edwin",27-10-1961 00:00,M,M,60000,1,0,Partial College,Skilled Manual,1,1,719 William Way,05-04-2014 00:00,5-10 Miles
11098,Mallory,Rubio,"Rubio, Mallory",01-05-1961 00:00,S,F,60000,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,15-02-2016 00:00,0-1 Miles
11099,Adam,Ross,"Ross, Adam",08-03-1961 00:00,M,M,60000,1,0,Bachelors,Professional,1,1,4378 Westminster Place,08-04-2014 00:00,0-1 Miles
11100,Latasha,Navarro,"Navarro, Latasha",15-09-1960 00:00,S,F,60000,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,17-04-2014 00:00,5-10 Miles
11101,Abby,Sai,"Sai, Abby",08-05-1965 00:00,S,F,70000,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,30-04-2014 00:00,0-1 Miles
11102,Julia,Nelson,"Nelson, Julia",21-04-1965 00:00,S,F,80000,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,17-07-2016 00:00,1-2 Miles
11103,Cassie,Chande,"Chande, Cassie",17-10-1964 00:00,S,F,70000,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,16-04-2014 00:00,5-10 Miles
11104,Edgar,Sara,"Sara, Edgar",11-03-1964 00:00,M,M,70000,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,04-05-2014 00:00,0-1 Miles
11105,Candace,Fernandez,"Fernandez, Candace",28-12-1964 00:00,S,F,70000,0,0,Bachelors,Professional,0,1,5029 Blue Ridge,14-05-2014 00:00,5-10 Miles
11106,Jessie,Liu,"Liu, Jessie",11-09-1964 00:00,S,M,70000,0,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,18-05-2014 00:00,5-10 Miles
11107,Bianca,Lin,"Lin, Bianca",09-09-1959 00:00,M,F,90000,1,0,Bachelors,Professional,1,1,7530 Eola,01-05-2014 00:00,5-10 Miles
11108,Kari,Alvarez,"Alvarez, Kari",14-07-1963 00:00,S,F,70000,0,0,Bachelors,Professional,0,2,9178 Thornhill Place,03-05-2014 00:00,0-1 Miles
11109,Ruben,Kapoor,"Kapoor, Ruben",05-11-1963 00:00,S,M,70000,0,0,Bachelors,Professional,0,2,1984 Glendale Circle,10-05-2014 00:00,0-1 Miles
11110,Curtis,Yang,"Yang, Curtis",06-06-1962 00:00,M,M,60000,1,0,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,01-05-2014 00:00,5-10 Miles
11111,Meredith,Gutierrez,"Gutierrez, Meredith",23-02-1962 00:00,M,F,60000,1,0,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,20-05-2014 00:00,0-1 Miles
11112,Crystal,Wang,"Wang, Crystal",09-09-1962 00:00,M,F,60000,1,0,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,25-05-2014 00:00,0-1 Miles
11113,Micheal,Blanco,"Blanco, Micheal",21-02-1962 00:00,M,M,70000,5,4,Bachelors,Professional,1,2,596 Marfargoa Drive,05-02-2016 00:00,5-10 Miles
11114,Leslie,Moreno,"Moreno, Leslie",28-05-1962 00:00,S,F,70000,5,4,Partial College,Skilled Manual,1,2,7941 Cristobal,19-03-2016 00:00,5-10 Miles
11115,Alvin,Cai,"Cai, Alvin",12-02-1962 00:00,M,M,70000,5,4,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,14-02-2016 00:00,0-1 Miles
11116,Clinton,Carlson,"Carlson, Clinton",07-10-1962 00:00,M,M,70000,5,4,Partial College,Skilled Manual,1,2,7943 Cunha Ct.,16-03-2016 00:00,5-10 Miles
11117,April,Deng,"Deng, April",21-02-1961 00:00,M,F,70000,5,4,Partial College,Skilled Manual,1,3,485 Ash Lane,06-05-2014 00:00,10+ Miles
11118,Alvin,Zeng,"Zeng, Alvin",03-07-1957 00:00,S,M,80000,1,0,Partial College,Skilled Manual,0,1,3853 Wildcat Circle,11-07-2016 00:00,0-1 Miles
11119,Evan,James,"James, Evan",10-04-1935 00:00,S,M,30000,2,0,Partial College,Clerical,0,2,4157 Sierra Ridge,07-02-2016 00:00,0-1 Miles
11120,Beth,Jiménez,"Jiménez, Beth",09-08-1936 00:00,S,F,40000,2,0,Bachelors,Management,1,1,7401 Las Palmas,14-05-2014 00:00,5-10 Miles
11121,Orlando,Suarez,"Suarez, Orlando",18-11-1960 00:00,M,M,70000,5,4,Partial College,Skilled Manual,1,3,7743 Hames Dr,26-06-2016 00:00,10+ Miles
11122,Byron,Vazquez,"Vazquez, Byron",02-04-1960 00:00,M,M,70000,5,4,Partial College,Skilled Manual,1,3,3187 Hackamore Lane,25-02-2016 00:00,5-10 Miles
11123,Philip,Alvarez,"Alvarez, Philip",20-06-1960 00:00,M,M,70000,5,4,Partial College,Skilled Manual,1,3,2775 Mt. Olivet Pl.,19-04-2016 00:00,10+ Miles
11124,Ross,Jordan,"Jordan, Ross",27-07-1957 00:00,S,M,80000,1,0,Partial College,Skilled Manual,1,1,6973 Dublin Court,05-05-2014 00:00,5-10 Miles
11125,Dana,Navarro,"Navarro, Dana",08-04-1956 00:00,S,F,70000,1,0,Partial College,Skilled Manual,1,1,8481 Zartop Street,04-02-2016 00:00,5-10 Miles
11126,Shaun,Carson,"Carson, Shaun",07-04-1949 00:00,M,M,10000,2,1,High School,Skilled Manual,0,2,57 Wolf Way,28-05-2014 00:00,0-1 Miles
11127,Jan,Edwards,"Edwards, Jan",21-10-1975 00:00,M,F,40000,0,0,High School,Skilled Manual,1,1,9409 The Alameda,12-04-2016 00:00,5-10 Miles
11128,Samantha,Long,"Long, Samantha",05-12-1975 00:00,M,F,40000,0,0,High School,Skilled Manual,1,1,1606 Alderwood Lane,21-06-2016 00:00,5-10 Miles
11129,Julia,Wright,"Wright, Julia",05-08-1975 00:00,S,F,40000,0,0,High School,Skilled Manual,1,1,7397 Central Blvd.,06-08-2014 00:00,5-10 Miles
11130,Caroline,Russell,"Russell, Caroline",06-01-1980 00:00,M,F,30000,0,0,High School,Skilled Manual,1,2,3884 Bates Court,11-12-2016 00:00,5-10 Miles
11131,Amanda,Rivera,"Rivera, Amanda",12-03-1980 00:00,M,F,30000,0,0,High School,Skilled Manual,0,2,9573 Royal Oak Rd.,20-10-2016 00:00,0-1 Miles
11132,Melissa,Richardson,"Richardson, Melissa",26-10-1980 00:00,S,F,30000,0,0,High School,Skilled Manual,0,2,6832 Fruitwood Dr,11-04-2016 00:00,5-10 Miles
11133,Angela,Griffin,"Griffin, Angela",08-09-1980 00:00,S,F,30000,0,0,Partial High School,Clerical,0,2,3828 Baltic Sea Ct,,0-1 Miles
11134,Larry,Townsend,"Townsend, Larry",26-02-1946 00:00,S,M,10000,5,0,High School,Skilled Manual,1,2,7034 Carson,03-05-2014 00:00,5-10 Miles
11135,Marcus,Harris,"Harris, Marcus",03-11-1979 00:00,S,M,30000,0,0,Partial High School,Clerical,0,2,9068 Quiet Place Drive,20-04-2016 00:00,5-10 Miles
11136,Brianna,Morgan,"Morgan, Brianna",26-10-1978 00:00,S,F,40000,0,0,High School,Skilled Manual,0,2,9005 Eagle Ct.,07-01-2016 00:00,0-1 Miles
11137,Jasmine,Taylor,"Taylor, Jasmine",20-07-1978 00:00,M,F,40000,0,0,High School,Skilled Manual,1,2,2457 Matterhorn Court,01-08-2016 00:00,5-10 Miles
11138,Lauren,Davis,"Davis, Lauren",15-09-1978 00:00,M,F,40000,0,0,High School,Skilled Manual,0,2,8105 Pembrook Court,22-09-2016 00:00,0-1 Miles
11139,Tanya,Moreno,"Moreno, Tanya",09-11-1938 00:00,S,F,30000,2,0,Partial College,Clerical,0,2,6155 Wilbur Drive,17-09-2016 00:00,5-10 Miles
11140,Javier,Alvarez,"Alvarez, Javier",11-02-1977 00:00,S,M,30000,0,0,Partial High School,Clerical,0,2,8935 Etcheverry Dr.,20-03-2016 00:00,5-10 Miles
11141,Nicole,Ramirez,"Ramirez, Nicole",21-06-1977 00:00,M,F,40000,0,0,High School,Skilled Manual,0,2,1101 C Street,17-05-2016 00:00,0-1 Miles
11142,Eduardo,Patterson,"Patterson, Eduardo",14-08-1977 00:00,S,M,40000,0,0,High School,Skilled Manual,0,2,6255 Macalvey Dr.,17-02-2016 00:00,0-1 Miles
11143,Jonathan,Henderson,"Henderson, Jonathan",04-02-1977 00:00,M,M,40000,0,0,High School,Skilled Manual,1,2,165 East Lane Road,17-06-2016 00:00,5-10 Miles
11144,Edward,Hernandez,"Hernandez, Edward",09-09-1979 00:00,S,M,40000,0,0,High School,Skilled Manual,0,2,7607 Pine Hollow Road,29-01-2016 00:00,0-1 Miles
11145,Jasmine,Coleman,"Coleman, Jasmine",08-12-1979 00:00,S,F,40000,0,0,High School,Skilled Manual,0,2,1961 Oak Grove Road,29-01-2016 00:00,0-1 Miles
11146,Karla,Goel,"Goel, Karla",26-08-1939 00:00,S,F,40000,2,0,Bachelors,Management,1,2,3272 Corrie Lane,09-02-2016 00:00,5-10 Miles
11147,Ernest,Wu,"Wu, Ernest",05-02-1939 00:00,M,M,60000,2,0,Graduate Degree,Management,1,1,1832 RiverRock Dr,13-05-2014 00:00,0-1 Miles
11148,Ross,Vazquez,"Vazquez, Ross",16-08-1941 00:00,M,M,40000,2,0,Bachelors,Management,1,2,1201 Paso Del Rio Way,08-03-2016 00:00,5-10 Miles
11149,Theodore,Gill,"Gill, Theodore",20-04-1941 00:00,M,M,40000,2,0,Bachelors,Management,1,2,9120 Pinewood Court,06-06-2016 00:00,0-1 Miles
11150,Russell,Shen,"Shen, Russell",15-03-1941 00:00,S,M,40000,2,0,Bachelors,Management,1,2,4755 Easley Drive,28-03-2016 00:00,5-10 Miles
11151,Melinda,Gill,"Gill, Melinda",25-02-1942 00:00,S,F,60000,2,0,Graduate Degree,Management,0,1,805 Rainier Dr.,15-05-2014 00:00,0-1 Miles
11152,James,Williams,"Williams, James",10-01-1976 00:00,S,M,40000,0,0,High School,Skilled Manual,1,2,6827 Seagull Court,13-01-2016 00:00,5-10 Miles
